모리	もり	Larry
이토	いとう	Barry
오구라	おぐら	Terry
사카가미	さかがみ	Jerry
츠치다	つちだ	Cary
오야마	おやま	Gary
소노카와	そのかわ	Harry
코쿠보	こくぼ	Perry
카와카미	かわかみ	Ralph
세키모토	せきもと	Skip
나카지마	なかじま	Trent
야마네	やまね	Logan
안도	あんどう	Biff
이케야마	いけやま	Drake
타키가와	たきがわ	Trip
요시무라	よしむら	Tyler
카타기리	かたぎり	Grant
이무라	いむら	Clark
이노우에	いのうえ	Rex
치바	ちば	Lance
마츠모토	まつもと	Dirk
아사카	あさか	Nick
사이토	さいとう	Brad
시로토	しろと	Matt
한야	はんや	Curt
미나카미	みなかみ	Mike
오오츠카	おおつか	Jake
이케가미	いけがみ	Robby
이와모토	いわもと	Chip
사와다	さわだ	Ernie
후쿠하라	ふくはら	Steve
키도	きど	Doug
히라사와	ひらさわ	Greg
카나쿠보	かなくぼ	Peter
오가와	おがわ	Bobby
마치다	まちだ	Brady
고토	ごとう	Lefty
사와	さわ	Sid
야마구치	やまぐち	Tony
오타	おおた	Marco
사이토	さいとう	Vinny
타카스기	たかすぎ	Mouse
난바	なんば	Max
니시카와	にしかわ	Manny
미하라	みはら	Louie
카시와야	かしわや	Herb
이와나가	いわなが	Erwin
나카자와	なかざわ	Felix
타니모토	たにもと	Morty
콘도	こんどう	Berni
히로노	ひろの	Byron
모치다	もちだ	Howie
오오니시	おおにし	Waldo
카이	かい	Linus
사토	さとう	Boris
오가타	おがた	Yemi
이지마	いいじま	Fuji
야자와	やざわ	Wang
쇼지	しょうじ	Akbar
모모야마	ももやま	Juan
오사와	おおさわ	Andre
소노다	そのだ	Hans
요시다	よしだ	Lars
스즈키	すずき	Bubba
타카데라	たかでら	Shane
노무라	のむら	Bart
쿠로사와	くろさわ	Luke
와타나베	わたなべ	Duke
오노	おの	Slim
야타니	やたに	Jed
쿠마가이	くまがい	Dusty
타나카	たなか	Merle
무토	むとう	Slash
토미야마	とみやま	Edge
카와다	かわだ	Blaze
이리에	いりえ	Tonto
아오키	あおき	Stick
나카무라	なかむら	Mooky
코가	こが	Snake
이치카와	いちかわ	Sting
키시모토	きしもと	Ziggy
사와구치	さわぐち	Moose
